,date,text,followers,polarity,sentiment_confidence,clusters,difference
30,2018-02-25 04:42:40,"b'RT @girlposts: ""This teacher deserves an award. He was teaching about Microsoft Word without... you know, computer."" https://t.co/AHKMHusnwV'",59,0.0,0.0,3,0.0
31,2018-02-25 04:42:39,b'Microsoft: We Have the Qubits You Want https://t.co/x3o3qfceyd via @BarronsOnline',545,0.0,0.0,3,0.0
32,2018-02-25 04:42:32,b'RT @J3RMM: i\xe2\x80\x99ll be hosting xp lobbies hmu 2400 microsoft points https://t.co/oVUJwESH4x',255,0.0,0.0,3,0.0
33,2018-02-25 04:42:30,"b'RT @modalitysystems: #Microsoft technology enables teams to collaborate anytime, anywhere. In this month\xe2\x80\x99s APAC Perspective, @justimorris t\xe2\x80\xa6'",211,0.0,0.0,3,0.0
34,2018-02-25 04:42:24,b'RT @kubernan: Microsoft\xe2\x80\x99s Phil Spencer talks about toxic gaming culture in DICE keynote https://t.co/Wi5oEepvcT #Microsoft',5,0.0,0.0,3,0.0
35,2018-02-25 04:42:22,"b""@Microsoft, In answer to your latest commercial..... I don't know about you, but: As one who values his #privacy, I\xe2\x80\xa6 https://t.co/QokeorePPP""",949,0.25,0.45,0,0.0002473063142902192
36,2018-02-25 04:42:21,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",757,0.0,0.0,3,0.0
37,2018-02-25 04:42:15,"b""RT @ID_Xbox: Fable Fortune launches out of Game Preview today and it's now free to play! \n\nChoose good or evil. Either way, there will be c\xe2\x80\xa6""",20292,-0.05000000000000002,0.7000000000000001,0,-0.0016451646461557155
38,2018-02-25 04:42:14,"b'@kylealden Again, I agree, but Microsoft used to be good at the long game, and the last 18 years have shown that is\xe2\x80\xa6 https://t.co/ugCWCZ8CXE'",530,0.06249999999999997,0.3666666666666665,0,2.8134797102446564e-05
39,2018-02-25 04:42:11,b'@sewart Might sound silly but if you keep having issues maybe try downgrading to Windows 7. Still the best OS Micro\xe2\x80\xa6 https://t.co/6TyIhpii3E',85,0.3,0.525,0,3.101101306695057e-05
40,2018-02-25 04:42:05,"b'Ethisphere: Dell, Microsoft, and Salesforce are among the world\xe2\x80\x99s most ethical companies https://t.co/7LYv8rjkk9 via @VentureBeat'",102,0.35,0.55,2,4.548281916486083e-05
41,2018-02-25 04:42:05,b'RT @msdev: Registration is officially open. Let your ideas take flight at #MSBuild. Save your spot now: https://t.co/WXhrJz2K3H https://t.c\xe2\x80\xa6',23,0.0,0.5,0,0.0
42,2018-02-25 04:41:52,b'@cass3094 The hell woman don\xe2\x80\x99t use wps download from Microsoft office',290,0.0,0.0,3,0.0
43,2018-02-25 04:41:51,b'RT @kubernan: Bill Gates to guest star on Big Bang Theory https://t.co/nfIMMwK03Q #Microsoft',1,0.0,0.1,3,0.0
44,2018-02-25 04:41:36,b'@KeithKeller @MiriRod @Microsoft It was your amazing example that got me started',55145,0.6000000000000001,0.9,2,0.06897891693083653
45,2018-02-25 04:41:35,b'RT @DevinSenaUI: Some other corporations who directly fund PP.\n\n@Adobe \n@Expedia\n@exxonmobil\n@Fritolay\n@generalelectric\n@Groupon\n@Intuit\n@C\xe2\x80\xa6',6550,-0.012499999999999995,0.3875,0,-7.349190246550314e-05
46,2018-02-25 04:41:33,"b'RT @verge: Intel partners with Microsoft, Dell, HP, and Lenovo to make 5G laptops https://t.co/Ab703aLH4I https://t.co/eunwSkdukp'",23,0.0,0.0,3,0.0
47,2018-02-25 04:41:21,"b""@Darkethena @Microsoft Yay! Sooo freakin' excited!""",449,0.46875,0.75,2,0.00036564981268542027
48,2018-02-25 04:41:18,b'\xe0\xb8\xaa\xe0\xb8\xb1\xe0\xb9\x88\xe0\xb8\x87\xe0\xb8\x8b\xe0\xb8\xb7\xe0\xb9\x89\xe0\xb8\xad Microsoft Keyboard + Mouse Designer Bluetooth Desktop Bluetooth Thai\xc2\xa0\xe0\xb8\xa3\xe0\xb8\xb2\xe0\xb8\x84\xe0\xb8\xb2\xe0\xb8\x96\xe0\xb8\xb9\xe0\xb8\x81 https://t.co/qAVjZUgwo5 https://t.co/UjW4laVT6X',97,0.0,0.0,3,0.0
49,2018-02-25 04:40:47,b'Anyone with surface pro 4 notice a popping sound when chrome is open? #Google #Chrome #surfacepro #Microsoft #Windows10',0,0.2,0.45,0,0.0
50,2018-02-25 04:40:17,"b'RT @michaeltanoe: This teacher deserves an award. He was teaching about Microsoft Words without... you know, computer. https://t.co/fy1Ifjc\xe2\x80\xa6'",367,0.0,0.0,3,0.0
51,2018-02-25 04:40:14,b'@GrandmaJess @JWadeTaylor @Elastigirl2018 @NRA The issue is folks wanting to sue because of end user behavior. The\xe2\x80\xa6 https://t.co/P24likyFgx',247,0.0,0.0,3,0.0
