,date,text,followers,polarity,sentiment_confidence
36,2018-02-17 05:06:06,"b'Brokerages Set Coherent, Inc. $COHR Price Target at $312.22 https://t.co/kYAK9IBRuJ'",267,0.5,0.7
37,2018-02-17 03:38:38,b'I highly recommend everyone check this out for discovering great stocks to trade https://t.co/mESyzDtjmm\n$COHU\xe2\x80\xa6 https://t.co/NpltmQf0TK',12,0.48000000000000004,0.645
38,2018-02-16 22:03:19,b'$COHR:\n\nNew Insider Filing on\n\nDirector\n\nGARRY W ROGERSON:\n\nhttps://t.co/AIfV95Oz59',1246,0.0,0.0
39,2018-02-16 19:48:03,b'Coherent $COHR Rating Reiterated by Northcoast Research https://t.co/hX3MB2YYM2',2036,0.5,0.7
40,2018-02-16 17:58:54,b'$AAPL should buyout $COHR at current very attractive dirt cheap valuation of around $5 bln - Even offering $15 bln\xe2\x80\xa6 https://t.co/2wqqkTk7jP',875,0.4666666666666666,0.6999999999999998
41,2018-02-16 17:32:22,b'$COHR : Expected for 2019\nSales of $2.2 bln \nEPS 17.77\n@$214 market valuation of just $5 bln which makes it extreme\xe2\x80\xa6 https://t.co/UkhXwKu7KR',875,-0.1,0.4
42,2018-02-16 16:45:01,"b'Coherent, Inc. $COHR Expected to Post Q2 2018 Earnings of $3.52 Per Share https://t.co/qW1dzbbmJT'",85,0.2,0.55
43,2018-02-16 15:50:02,"b'$COHR - Coherent, Inc. to Post Q1 2019 Earnings of $4.40 Per Share, Northcoast Research Forecasts\n#Buy @$212 - SCRE\xe2\x80\xa6 https://t.co/qG6XK9Wzox'",875,0.5,0.7
44,2018-02-16 15:43:31,b'Bought on dips to #DayTrade #SwingTrade\n$COHR : $212.90\n$AAOI : $30.66\n\n#Buy both SCREAMING BUYS for Long Term',875,-0.05,0.4
45,2018-02-16 14:05:44,"b'LS Investment Advisors LLC Cuts Stake in Coherent, Inc. $COHR https://t.co/pITH741wOz'",267,0.5,0.7
46,2018-02-16 12:45:07,"b'Coherent, Inc. $COHR Director Stephen A. Skaggs Sells 500 Shares https://t.co/A6qjR02zCY'",1750,0.5,0.7
47,2018-02-16 11:24:46,"b'Coherent, Inc. $COHR Shares Sold by LS Investment Advisors LLC https://t.co/XzSRT4HWef'",161,0.5,0.7
48,2018-02-15 19:46:59,"b'$COHR : $219 now, I had loaded on dips between $195.50 - $211.50 recently.  I could sell to lock my quick gains but\xe2\x80\xa6 https://t.co/mjpk3FMaTU'",875,0.16666666666666666,0.375
49,2018-02-15 19:41:55,"b'Coherent, Inc. $COHR to Post Q1 2019 Earnings of $4.40 Per Share, Northcoast Research Forecasts https://t.co/Z5QTBRFLbx'",2036,0.5,0.7
50,2018-02-15 19:34:02,"b'Coherent, Inc. $COHR to Post Q1 2019 Earnings of $4.40 Per Share, Northcoast Research Forecasts https://t.co/vS80mEhbgY'",267,0.5,0.7
51,2018-02-15 17:38:15,"b'$cohr wants higher, understandable after $amat CC'",295,0.225,0.3
52,2018-02-15 17:21:39,"b'Coherent, Inc. $COHR Director Stephen A. Skaggs Sells 500 Shares https://t.co/ckOk4MUehH'",2036,0.5,0.7
53,2018-02-15 17:04:47,"b'Brokers Offer Predictions for Coherent, Inc.\xe2\x80\x99s Q2 2018 Earnings $COHR https://t.co/X21Sc54n2M'",2036,0.5,0.7
54,2018-02-15 16:36:24,b'$COHR : Indirectly get highly benefited with sales of its Laser Cutting Tools used in Steel - Concrete (Industrial\xe2\x80\xa6 https://t.co/g1ZjIiQ7CP',875,-0.09666666666666664,0.58
55,2018-02-15 16:22:33,b'$COHR OLED related name down 35% from highs on iPhone/Samsung screen adoption concerns. Trading 12x 2019 eps. Sell-\xe2\x80\xa6 https://t.co/ASk3qWVYVb',820,-0.07777777777777779,0.34444444444444444
56,2018-02-15 16:18:48,b'@GerberKawasaki - You will love $COHR \nhttps://t.co/GPeRCmFXSs',875,0.5,0.6
57,2018-02-15 15:57:30,b'$COHR : Added more @$211.50 - Building a SUPER LARGE long position in #Coherent a rapidly growing world leader in t\xe2\x80\xa6 https://t.co/nxYfG55NkV',875,0.29952380952380947,0.5390476190476191
58,2018-02-15 15:49:50,b'$COHR : LOAD UP @$212 - Stock should be $500+ based on fundamentals\nCompare its 45+% annual growth rate to that of\xe2\x80\xa6 https://t.co/aRD9DbcCWV',875,0.0,0.0
59,2018-02-15 15:36:07,"b'Brokers Offer Predictions for Coherent, Inc.\xe2\x80\x99s Q2 2018 Earnings $COHR https://t.co/RfblwCVbLQ'",267,0.5,0.7
60,2018-02-15 13:13:23,"b'$COHR : @ Current $5 bln valuation, it is the most undervalued when you compare to its GROWTH - PROFITS - EPS rise\xe2\x80\xa6 https://t.co/XsmB1b2Z7M'",875,0.25,0.45
61,2018-02-15 10:43:55,b'Coherent $COHR Downgraded to Sell at Zacks Investment Research https://t.co/L0OhIG6IPP',146,0.5,0.7
62,2018-02-15 10:43:41,b'Coherent $COHR Earns \xe2\x80\x9cBuy\xe2\x80\x9d Rating from Northcoast Research https://t.co/TvevAdyfzd',161,0.5,0.7
63,2018-02-15 08:00:17,b'Director sold $106K worth of  $COHR. This Revenue model shows downside https://t.co/8o9iLKnvA5',122,0.3,0.1
