followers,polarity,sentiment_confidence,clusters,difference
2962,-0.3,0.5,3,-0.005077889
7,0.35,0.35,0,9.80E-06
236,0.6,0.9,0,0.001456507
3472,0,0,4,0
29684,0.4,0.8,0,0.108562368
53,0,0,4,0
344,0,0,4,0
15423,0.083333333,0.3,1,0.004406723
134,0,0,4,0
923,-0.166666667,0.166666667,4,-0.000293026
68,0,0,4,0
171,-0.1,0.1,4,-1.95E-05
16,0,0,4,0
268,0.35,0.7,0,0.000750426
4026,0,0.1,4,0
88,-0.75,1,3,-0.000754312
7943,0,0,4,0
442,0.416666667,0.583333333,0,0.00122782
48,0.133333333,0.466666667,1,3.41E-05
2521,0.5,0.5,0,0.007203105
60,-0.2,0.4,1,-5.49E-05
32,0,0,4,0
1638,0,0,4,0
5872,0.5,0.6,0,0.020133265
176,-0.4,0.7,3,-0.000563219
600,-0.125,1,3,-0.000857172
42,-0.466666667,0.666666667,3,-0.000149338
88,0,0,4,0
1021,0,0,4,0
490,-0.15,0.9,3,-0.000756026
1889,0.6,0.9,0,0.01165823
684,0,0,4,0
1021,0,0,4,0
775,0,0,4,0
4501,-0.3,0.5,3,-0.007716266
1021,0,0,4,0
1453,0.8,0.75,0,0.009963772
1847,0,0,4,0
18350,0,0,4,0
18350,0,0,4,0
813,0,0,4,0
171,0,0,4,0
4532,0,0,4,0
1793,0,0,4,0
88,0,0.5,1,0
95,-0.125,0.8,1,-0.000108575
58,0,0,4,0
365,-0.8,1,3,-0.003337258
202,0,0,4,0
8,-0.75,1,3,-6.86E-05
306,-0.15,0.4,1,-0.000209836
4891,-0.466666667,0.666666667,3,-0.017390821
751,-0.15,0.4,1,-0.000514989
1136,0,0.1,4,0
494,-0.5,0.8,3,-0.002258363
1538,0,0,4,0
5165,0,0,4,0
207,0,0,4,0
10521,0,0,4,0
775,0.357142857,0.571428571,0,0.001807642
5165,0,0,4,0
140,0.0175,0.77,1,2.16E-05
225,0.566666667,0.616666667,0,0.000898602
2179,0.068181818,0.227272727,4,0.000385905
683,0.625,0.8,0,0.003902992
712,0.581666667,0.593333333,0,0.002808406
561,0,0,4,0
161,-0.05,0.535416667,1,-4.93E-05
13,0,0,4,0
3833,0,0,4,0
3833,0,0,4,0
3833,0,0,4,0
1672,0,0,4,0
603,0.136363636,0.454545455,1,0.000427169
1411,0,0,4,0
137,-0.5,0.9,3,-0.000704596
1388,0,0,4,0
775,0.333333333,0.333333333,0,0.000984161
2174,0.1,0.3,1,0.000745397
75,-0.016666667,0.533333333,1,-7.62E-06
224,-0.15,0.4,1,-0.000153605
181,0,0,4,0
14563,0.5,0.6,0,0.049932005
7,0,0,4,0
409,0.675,0.75,0,0.002366439
35,0,0,4,0
213,0,0,4,0
373,0.333333333,0.5,0,0.000710501
4053,0,0,4,0
311,0.55,0.75,0,0.001466193
7264,0,0,4,0
7264,0,0,4,0
110,0,0.1,4,0
775,0,0,4,0
4341,0,0,4,0
41746,0.268181818,0.627272727,0,0.080261544
147,-0.466666667,0.666666667,3,-0.000522685
80,0,0,4,0
306,0,0,4,0
170,0,0,4,0
40,-0.15,0.4,1,-2.74E-05
130,0,0,4,0
511,0.0625,0.5,1,0.000182506
90,0.625,0.6,0,0.000385728
230,0,0,4,0
366,0,0,4,0
360161,0.5,0.5,2,1.029066871
2278,-0.1,0.2,4,-0.000520704
2278,0,0.05,4,0
1087,0.658333333,0.833333333,0,0.006815552
40,0,0,4,0
306,0,0,4,0
306,0.428571429,0.535714286,0,0.000802943
981,0,0,4,0
166,-0.7,0.666666667,3,-0.000885364
443,0.25,0.5,1,0.000632879
0,0.25,0.333333333,1,0
3493,-0.25,1,3,-0.009980344
25,0,0,4,0
71,0,0,4,0
291,0,0,4,0
1,-0.75,1,3,-8.57E-06
87,0.008333333,0.666666667,1,5.52E-06
2278,0.2,0.3,1,0.001562111
422,0.4,0.3,0,0.000578763
3664,-0.119318182,0.477272727,1,-0.00238471
237,0,0,4,0
213,0,0,4,0
52,0.85,1,0,0.00050516
3399,0,0,4,0
1087,0.658333333,0.833333333,0,0.006815552
124,0.25,0.5,1,0.000177149
3226,0,0.4,1,0
235,0,0,4,0
262,-0.9375,1,3,-0.00280724
2,0,0,4,0
290,0,0,4,0
232,0,0,4,0
133,0,0,4,0
22,-0.466666667,0.666666667,3,-7.82E-05
2887,0,0,4,0
526,0,0,4,0
178,0.8,0.4,0,0.000650994
38945,0.268181818,0.627272727,0,0.074876295
1112,0,0.4,1,0
1167,0.16,0.54,1,0.001152369
517,0,0,4,0
3734,0.268181818,0.627272727,0,0.00717905
89,0,0,4,0
17845,0.25,0.333333333,1,0.016995823
1,0.8,0.4,0,3.66E-06
3277,0.5,0.5,0,0.00936318
18739,0,0,4,0
340,0.1,0.383333333,1,0.000148958
2086,-0.5,0.8,3,-0.009536328
1103,-0.5,0.3,3,-0.001890922
587,0,0,4,0
257,0.136363636,0.454545455,1,0.000182061
143,0,0.166666667,4,0
45,0,0,4,0
28,0,0,4,0
536,0,0,4,0
8513,0.25,0.5,1,0.012161847
